"Title","fig1","fig2","fig3","fig4","Date","Latest","diff01","diff12","ratio01","ratio12","PorN"
"企業向けサービス価格指数(月次):[企業向けサービス価格指数]総平均(2010年=100)","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-1.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-ma-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-ma-1.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-bp-3-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-bp-3-1.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-bp-4-1.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-bp-4-1.png"" width=""20%"" /></a>","2017年06月",103.7,-0.1,0.8,-0.1,0.8,TRUE
"企業向けサービス価格指数(月次):[企業向けサービス価格指数]総平均(除く国際運輸)(2010年=100)","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-2.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-ma-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-ma-2.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-bp-3-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-bp-3-2.png"" width=""20%"" /></a>","<a href=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-bp-4-2.png""><img border=""0"" src=""http://indicator.am-consulting.co.jp/AMCC-TSplot/services.producer.price.index-bp-4-2.png"" width=""20%"" /></a>","2017年06月",103.8,-0.1,0.7,-0.1,0.7,TRUE
