"Date","総額 -Import","食料品 -Import","食料品及び動物 -Import","飲料及びたばこ -Import","魚介類.魚介類及び同調製品 -Import","えび -Import","肉類.肉類及び同調製品 -Import","穀物類.穀物類及び同調製品 -Import","野菜 -Import","果実 -Import","原料品 -Import","原材料 -Import","動植物性油脂 -Import","木材 -Import","非鉄金属鉱 -Import","鉄鉱石 -Import","大豆 -Import","鉱物性燃料 -Import","原油及び粗油 -Import","石油製品 -Import","揮発油 -Import","液化天然ガス -Import","液化石油ガス -Import","石炭 -Import","一般炭 -Import","化学製品 -Import","有機化合物 -Import","医薬品 -Import","原料別製品 -Import","鉄鋼 -Import","非鉄金属 -Import","金属製品 -Import","織物用糸繊維製品.織物用糸及び繊維製品 -Import","非金属鉱物製品 -Import","木製品等除家具.木製品及びコルク製品除家具 -Import","一般機械 -Import","原動機 -Import","電算機類含周辺機器 -Import","電算機類の部分品 -Import","電気機器 -Import","半導体等電子部品 -Import","ＩＣ -Import","音響映像機器含部品 -Import","映像記録再生機器 -Import","重電機器 -Import","通信機 -Import","電気計測機器 -Import","輸送用機器 -Import","自動車 -Import","自動車の部分品 -Import","航空機類 -Import","そのた -Import","雑製品 -Import","特殊取扱品 -Import","科学光学機器 -Import","衣類同附属品.衣類及び同附属品 -Import","家具 -Import","バッグ類 -Import"
1988-01-01,17961.64853,2248.15297,2046.04184,202.11113,707.14044,267.64299,338.019,351.00681,164.95623,132.88894,2994.1557,2958.30715,35.84855,730.80165,508.10541,298.65134,154.45801,4634.43583,2459.24423,760.48326,273.73058,652.49807,194.45235,565.39497,95.22146,1465.39801,454.46168,250.80189,2647.42318,493.23648,974.54656,104.47905,382.70717,301.98978,220.06014,825.35106,147.52038,154.69737,75.84963,842.49611,197.74705,145.34133,107.98453,2.97437,67.39263,86.53302,128.6335,467.16836,304.83455,38.80185,58.06974,1837.06731,1444.63285,392.43446,113.17606,483.45247,90.07905,57.95649
1988-02-01,19276.70914,2410.40496,2162.35311,248.05185,774.69239,218.01703,321.60403,368.89669,182.08644,150.96416,2703.58636,2670.80981,32.77655,639.60468,427.05337,331.85459,75.96781,4756.41131,2602.17969,814.0471,271.82532,623.44773,234.29498,479.15287,100.15623,1440.29821,439.70665,254.21849,2588.19206,500.05002,899.88865,107.19473,325.57428,392.21564,165.9437,867.80715,106.98435,220.77323,85.02803,886.53719,200.41398,150.64895,116.24979,2.97168,65.45776,38.28926,172.76388,1018.77455,283.7411,36.55834,644.65462,2604.69735,1697.66702,907.03033,127.88727,592.81824,102.85734,81.70786
1988-03-01,19639.65033,2808.55659,2517.04697,291.50962,1009.70779,216.49334,304.84755,380.95259,188.71522,202.86179,2873.99082,2831.38012,42.6107,679.68159,374.98301,294.55619,161.48957,4591.27075,2276.29961,807.22569,306.92683,691.74278,207.71955,597.72784,130.90736,1672.28845,504.91837,279.99741,2392.22447,347.55966,758.43177,124.41092,336.71594,463.41066,167.25212,1060.65511,152.48657,226.80951,102.52984,1105.1336,230.53244,179.45926,148.14112,5.31882,73.17865,72.04226,256.83892,736.8991,375.82962,42.76742,269.20365,2398.63144,1826.65535,571.97609,163.54036,577.39667,109.50068,75.29411
1988-04-01,19719.96284,2859.53262,2658.10186,201.43076,1020.64521,327.68187,353.58255,422.52812,189.70488,241.20893,2845.61309,2801.96075,43.65234,782.37018,364.71347,275.80773,151.03414,4155.47139,2143.04756,675.00038,298.69413,499.87682,295.02633,537.86892,128.01305,1491.51284,477.38562,278.45215,3232.7547,590.35171,1182.42222,127.69298,429.54954,438.86738,240.31467,861.84775,116.33571,171.2313,84.40823,852.4873,212.83141,158.32669,125.30813,4.78341,61.17356,35.91323,146.60282,666.27103,323.10122,43.20703,249.24695,2754.47212,2018.72649,735.74563,128.64653,655.05833,140.03076,92.27107
1988-05-01,19289.14302,2907.20835,2630.57845,276.6299,963.80529,288.96736,418.96011,457.13124,140.70645,272.00709,3099.69978,3057.6494,42.05038,864.72066,374.99874,347.52781,145.67547,3886.53962,1855.93551,754.39747,308.3751,516.6535,185.11592,570.82334,92.18499,1539.98708,467.97111,281.26221,2887.90602,527.54382,922.97534,125.73534,420.4229,455.87167,220.63381,968.26359,162.31898,179.09081,92.42265,921.09645,220.63378,171.75439,140.24931,4.92347,67.74176,57.02422,145.57593,605.612,352.78499,42.48556,143.4563,2472.83013,1762.89846,709.93167,131.00537,451.51643,129.77722,73.09231
1988-06-01,20166.21821,3232.40876,2983.93045,248.47831,1136.5242,266.02543,487.33422,403.91417,146.87862,330.67934,3039.16938,2999.80508,39.3643,856.25895,474.15546,271.52104,147.68681,4162.65734,1985.11461,915.50039,424.22894,488.29448,224.98943,544.67303,120.52681,1571.26411,499.45316,285.32644,2859.10282,441.53799,934.43677,127.46831,441.16633,491.4424,208.97467,1014.11599,143.81191,230.76838,95.59306,905.69375,228.86554,177.54456,143.10206,8.32163,69.68082,36.68298,133.32287,814.08718,298.57271,43.80824,420.71395,2567.71888,1777.81771,789.90117,137.40895,469.34371,114.49535,77.54939
1988-07-01,20979.89785,3404.25596,3185.30839,218.94757,1429.7361,314.57697,469.34635,440.60132,144.70163,260.78987,3039.71503,2994.64391,45.07112,850.8669,407.44656,324.85914,150.60434,4703.59727,2359.40971,972.75859,351.75612,577.77542,271.40078,515.99929,109.44902,1605.33426,474.00039,331.39399,3072.72908,426.39559,1138.75689,130.28388,479.64716,479.42878,211.26239,985.72862,170.79049,183.95198,92.27587,984.90722,251.91284,194.91751,163.26674,7.94399,90.36472,45.88721,144.46529,639.54463,333.99836,48.51609,210.44982,2544.08578,2036.12696,507.95882,134.43348,726.47765,101.85307,83.05403
1988-08-01,21134.15332,3784.73473,3579.96219,204.77254,1689.59309,331.58899,518.4949,510.35558,146.512,215.80428,3154.52849,3105.47629,49.0522,765.66083,439.59616,299.03056,168.13405,3771.39994,1782.7256,620.62118,355.06796,578.00805,148.52974,635.73891,141.1356,1622.35328,452.8439,293.5521,3154.64637,551.26809,1104.37356,143.5581,445.64552,425.67501,241.72556,1020.64816,117.78248,240.86558,119.61153,1074.85535,290.15646,232.3695,153.69677,10.24561,89.13311,51.4575,158.53177,532.9903,370.33828,47.01155,74.96963,3017.9967,2436.87856,581.11814,144.21398,1087.13453,109.19974,95.57127
1988-09-01,20689.34053,3407.23188,3202.66549,204.56639,1214.73556,319.52249,556.71381,500.35092,192.37607,226.93395,3068.92473,3012.44027,56.48446,766.09135,410.53722,299.82684,213.42588,3548.11801,1567.40671,613.93999,293.266,527.35312,211.33199,620.68009,134.38344,1754.26989,523.55485,290.52672,3094.89319,508.97205,1015.60582,146.45588,428.78135,527.30587,233.69146,1092.86639,139.75535,268.92688,121.73774,1053.67961,279.33257,221.49441,165.57056,12.05665,81.85231,52.86393,168.90233,419.92055,251.27647,46.47908,86.10507,3249.43628,2573.70058,675.7357,147.39397,1235.19931,107.34773,89.69691
1988-10-01,20888.90851,3618.59334,3425.20163,193.39171,1275.16284,436.0968,619.02595,539.57396,170.28636,275.97896,3185.21435,3135.5874,49.62695,743.58527,522.56927,331.96091,178.18269,3514.72736,1577.244,590.32066,300.07062,508.35995,173.47941,659.01525,136.06138,1581.01724,503.68475,298.72741,3152.54865,540.20652,1077.7787,145.22807,443.70794,476.83295,244.6975,1039.34736,126.7289,222.13872,121.57421,1102.30938,286.07342,224.9615,178.68719,10.10347,81.75273,64.56562,167.31864,654.6576,333.36327,55.95308,193.6903,3040.49323,2314.31292,726.18031,142.51002,990.76199,105.67965,87.84605
1988-11-01,20204.61335,3440.85449,3172.30143,268.55306,1157.43054,347.79003,612.29589,503.9788,169.46621,234.1557,2930.12724,2881.55047,48.57677,727.7482,438.5209,295.79753,98.04021,3443.62759,1640.10769,597.97762,256.1105,487.94774,201.45402,510.91515,130.66891,1620.00493,528.96363,305.78842,3069.10703,514.30373,971.33572,159.30957,451.77653,482.12489,255.49894,1066.21325,128.00422,225.57783,127.87326,1113.66282,274.95962,204.33625,183.03665,10.42475,102.58248,54.01143,171.43157,699.38967,427.08275,53.40617,151.44804,2821.62633,2082.33507,739.29126,157.51129,733.0932,106.10323,92.73295
1988-12-01,20112.95296,3231.99886,3028.85367,203.14519,1066.49053,317.35584,531.45312,554.55201,183.53557,182.28136,2984.47533,2947.43161,37.04372,711.59872,510.13399,283.79511,184.5492,3923.99439,1868.86419,771.99946,302.28698,474.11749,152.46307,649.70843,141.0204,1636.42957,505.0712,256.74127,2879.38692,480.78509,955.40012,153.20346,446.16467,386.11913,241.01228,1136.79318,140.43874,306.0744,136.29066,1063.3689,256.80327,195.94679,195.10668,8.12009,86.68858,61.47298,166.38948,566.4273,390.96973,51.93081,86.26525,2690.07851,2043.84604,646.23247,150.5908,646.05439,104.23494,90.25627
1989-01-01,20244.44396,2753.88672,2509.16287,244.72385,883.48369,298.97516,426.43266,471.93198,168.56414,154.22032,3269.10726,3225.57775,43.52951,750.61333,592.01197,298.57092,142.9379,4280.69003,2009.21224,951.19416,315.15895,558.58094,223.17545,529.60012,133.05639,1674.4085,535.32866,303.32175,3003.45353,501.30522,1002.45981,139.88149,413.74152,399.02157,305.86922,1094.88892,131.83899,206.56233,132.38161,1081.68852,271.58263,208.04584,194.05103,8.17617,93.30455,70.60417,166.00639,499.37356,297.57156,53.68805,95.24056,2586.94692,1952.6901,634.25682,152.44728,709.68602,116.94524,89.66899
1989-02-01,19464.62225,2624.27116,2379.99362,244.27754,830.34588,267.79051,354.76431,503.02856,175.74427,161.15907,2830.01866,2796.45965,33.55901,712.476,459.92963,291.96907,112.39801,4267.42067,2058.8354,916.67141,306.18127,569.51189,167.01053,546.91552,117.56733,1548.51736,508.39807,308.73982,2728.02929,374.37693,978.19297,134.3846,348.81814,432.85924,237.16449,1000.21308,117.64764,217.12702,126.15534,1039.78622,258.98979,204.16439,175.64035,9.07248,72.28186,49.39207,182.07536,520.87938,345.13037,45.68196,75.82648,2905.48643,2064.63418,840.85225,143.17319,722.56568,105.90173,99.46628
1989-03-01,25446.96946,3774.03642,3391.99091,382.04551,1332.20451,349.34617,518.47833,562.79845,258.75081,224.00403,3864.5109,3815.88605,48.62485,1007.57719,492.79831,351.34867,188.34232,4896.10335,2490.64315,734.57957,366.09793,652.76663,275.27633,738.27103,179.36944,2133.03268,626.07468,332.02419,3597.54149,554.73828,1226.72814,178.94168,459.50138,601.84516,273.87906,1375.3497,145.43571,352.97816,156.33319,1397.57711,320.97933,251.58695,202.31774,5.27161,104.32045,68.85712,274.74289,570.35953,387.4023,65.24361,69.74323,3838.45828,2933.90519,904.55309,191.35661,877.09015,149.17666,116.67278
1989-04-01,21046.84284,3262.48608,3018.00155,244.48453,1074.84683,292.76078,522.10514,463.1086,209.08202,263.06843,2744.33053,2695.20543,49.1251,619.85705,422.57097,313.71946,194.52761,4403.7406,2383.93977,745.7669,353.26615,516.55725,176.78982,576.06371,128.98168,1751.24508,503.93338,318.8947,3334.37858,541.43103,1211.41844,160.69658,490.93745,458.55418,271.5693,1039.45064,152.77389,218.93318,145.5582,1073.24361,276.27797,219.62209,193.2054,9.27528,84.20262,61.77737,136.27789,686.14002,431.2548,45.59716,151.84338,2751.8277,2331.72253,420.10517,148.67971,873.40791,136.031,116.6853
1989-05-01,24008.01378,3729.51651,3387.34621,342.1703,1102.17743,336.05792,670.43922,592.10263,206.05113,323.64723,3744.58344,3691.09968,53.48376,973.74761,669.0196,361.64666,140.87563,4856.89,2379.27318,939.21099,410.90465,628.64518,200.84461,703.70801,143.26976,1970.34406,550.33303,311.49675,3598.69512,561.18158,1134.20799,179.60223,553.95476,543.16348,353.32353,1277.53278,176.50993,268.01851,146.29713,1305.7316,332.79283,261.58035,212.78449,9.26535,102.21099,62.95167,188.92495,670.4591,460.621,62.79263,69.55663,2854.26117,2311.07923,543.18194,185.71337,720.86841,166.10176,115.34509
1989-06-01,24915.68117,3906.72139,3476.07037,430.65102,1108.12021,287.13816,639.32112,591.82812,180.24947,360.80838,3840.28011,3783.34445,56.93566,1097.53535,618.13829,348.82882,177.83904,4725.18173,2216.76323,966.8493,415.33973,602.11092,228.34336,703.5348,179.75594,1988.30025,539.24596,308.54641,3646.75875,550.17588,1236.23898,181.57012,575.57645,541.97218,288.51423,1390.52003,189.13516,340.26418,177.93812,1329.16149,325.6778,252.3234,233.18724,11.85943,112.38996,67.61597,207.23134,940.77539,522.56895,60.29411,287.23956,3147.98203,2574.47874,573.50329,192.68651,772.05448,162.58313,115.89777
1989-07-01,24724.57831,3796.10227,3472.66349,323.43878,1257.98649,307.83088,606.26261,536.96928,166.86029,340.96216,3708.44339,3661.55235,46.89104,1060.88083,535.90592,342.68064,220.76197,4556.66557,2196.30951,910.86208,361.0752,594.2481,143.60255,706.4522,132.54017,1921.56823,538.45002,305.20805,3705.80105,594.43717,1201.20472,177.28506,541.14655,577.25406,344.58852,1330.63897,203.79791,273.21066,179.01008,1400.89654,353.41814,283.31134,226.75263,10.94675,110.6883,86.95444,231.88583,903.74581,476.85469,66.45903,290.32609,3400.71648,2802.31341,598.40307,189.77684,1127.99302,136.35815,120.90962
1989-08-01,25894.86276,3977.38214,3656.48683,320.89531,1524.21982,287.63939,627.55724,536.62675,158.41077,256.94631,3734.94059,3687.25683,47.68376,1028.57666,556.7912,422.81706,127.77402,5092.55065,2618.82558,901.43664,430.49312,688.61326,198.99835,671.09285,181.67912,1768.37888,490.39513,320.50107,3548.67956,643.73532,1043.46388,181.72508,535.95975,505.61083,369.44297,1378.56459,181.06774,297.92344,181.05016,1397.15398,350.02125,281.4838,239.53659,19.90598,114.21703,88.67549,225.90841,1132.65078,542.25558,65.93673,471.93061,3864.56159,3258.2833,606.27829,194.0881,1571.26688,144.05439,134.70116
1989-09-01,24853.80823,3592.89577,3255.04352,337.85225,1216.71562,247.41459,527.30294,591.33639,213.12717,220.55778,3646.91322,3594.12071,52.79251,1075.14908,548.67694,361.35225,111.87888,5054.37401,2479.78457,1020.90648,423.19068,657.89681,182.32205,705.50558,192.27,1679.39068,498.52733,291.15364,3563.14641,536.28463,1050.17311,176.90252,493.93753,662.36284,372.39211,1434.29111,141.45328,414.11636,183.3115,1394.03759,357.39431,286.09241,206.57076,12.82725,109.20187,105.93195,222.50049,662.39326,382.06024,67.16213,161.65371,3826.36618,3269.92013,556.44605,198.17458,1597.54743,144.67973,112.82779
1989-10-01,26189.26165,3724.70412,3387.17602,337.5281,1065.31054,236.36738,643.83585,596.13197,199.63563,300.35424,3769.77832,3713.93213,55.84619,1078.4957,552.82244,407.58296,139.74354,5089.73161,2445.0624,997.69981,372.07492,639.17552,230.07746,770.0762,196.5515,1825.91902,569.61279,307.99722,4106.33803,849.70739,1179.50693,182.77425,538.36434,649.48966,426.07738,1455.88292,172.41834,324.50657,216.29898,1479.54278,383.89044,305.58808,236.9167,11.60145,119.78313,94.13217,228.3003,923.39037,518.04497,77.07341,269.42123,3813.97448,3277.49435,536.48013,201.07295,1514.90409,143.90457,120.98686
1989-11-01,26465.2082,3909.42046,3504.94648,404.47398,1253.83945,288.90437,643.25283,569.22919,167.74184,294.14402,3576.20215,3524.26439,51.93776,997.40209,491.72683,409.73311,134.13375,5564.87717,2913.27858,1044.59821,403.02511,702.6383,223.00086,672.82122,190.06537,1795.4416,527.11047,312.10696,3791.95687,634.61917,1173.72091,182.76648,531.57876,641.22969,364.92861,1513.95989,167.49215,359.40026,215.46137,1482.30762,355.42563,276.66657,262.88638,12.80439,127.0998,94.99709,219.37714,1045.04524,668.74695,84.40022,238.04454,3785.9972,3045.23747,740.75973,199.01602,1009.43603,150.01361,141.39486
1989-12-01,26531.4332,3591.05547,3236.17839,354.87708,1137.95409,339.70269,566.0486,569.55567,180.5095,227.41475,3367.95669,3327.34265,40.61404,890.13175,476.05082,417.91526,159.56624,6373.55998,3424.2413,1252.46956,406.60997,680.41,271.37874,728.00644,202.67463,1786.34164,482.72633,317.57011,3653.3239,635.49199,1153.97195,180.53125,486.92843,549.73261,387.67152,1489.9165,175.33816,331.25383,229.02507,1417.68037,348.62486,271.7951,259.70446,8.32284,113.294,96.12281,199.23557,1050.0314,712.91771,75.36784,129.96699,3801.56725,2859.44153,942.12572,195.01494,865.93298,148.19294,138.78633
1990-01-01,26488.94855,3191.39306,2841.59977,349.79329,908.69048,293.7246,530.53828,498.69351,202.29816,175.80949,3579.42174,3531.81817,47.60357,956.1041,539.01461,381.98841,159.23695,6261.61256,3244.57659,1139.62197,391.82068,833.28073,286.45852,744.44773,183.49809,1843.24352,523.71479,325.55873,3600.48598,583.87098,1076.72591,190.15622,467.58076,605.92862,387.48367,1587.99088,223.30998,317.39093,232.87197,1482.35903,363.15521,280.06974,231.02354,8.98848,120.44441,93.83697,228.88109,1228.46259,786.17077,85.83069,269.13174,3713.97919,3142.51111,571.46808,219.22938,972.91132,163.19579,151.74856
1990-02-01,24688.18441,3025.49962,2721.72575,303.77387,882.25608,261.13837,497.95254,529.04849,206.1218,171.56539,3309.86582,3268.86668,40.99914,906.84764,345.18491,384.27384,172.58047,6007.64016,3347.38537,863.1558,348.75753,779.98042,285.8607,723.06819,171.45289,1802.2749,508.93542,296.56247,3233.90674,487.2018,1020.1546,167.74992,379.90701,592.30377,326.76435,1457.30962,179.56443,332.54077,229.50714,1280.48004,336.28909,263.80249,187.39558,5.35964,97.57281,90.45484,196.90739,1240.27271,635.89683,75.72176,430.33509,3330.9348,2676.35906,654.57574,208.77761,872.78305,156.60453,134.81572
1990-03-01,28234.89159,4084.57039,3628.77719,455.7932,1314.59128,358.11023,688.9324,581.63847,278.46723,231.31692,3552.80813,3505.55376,47.25437,990.9291,513.58386,376.07027,150.47603,6646.03939,3518.46028,1151.58466,454.83787,800.19182,359.98291,801.367,239.973,1902.00632,539.2483,307.93304,3490.72264,394.92722,1060.71261,220.40999,432.86783,752.65824,349.04018,1673.44081,202.37406,383.2331,271.94635,1622.09634,398.1529,312.18742,224.35088,10.93373,173.77396,99.39208,241.35822,1409.09683,844.79292,94.96774,376.91254,3854.11074,3194.77454,659.3362,243.38988,1039.30209,199.18999,160.93625
1990-04-01,28876.52595,3959.95058,3564.29678,395.6538,1177.94161,359.19201,652.27122,629.47639,261.11172,323.63095,3674.75391,3626.34557,48.40834,1045.08769,498.3969,393.32263,137.68746,6142.75069,3460.2105,970.36531,381.76187,689.98035,295.30665,722.12393,167.93171,2062.84062,613.16085,367.03793,4247.9784,721.40541,1423.58276,221.07839,641.86066,599.09619,353.12986,1764.12457,220.90886,298.01049,243.80485,1461.45445,369.01404,289.37309,212.52526,7.44339,115.61488,90.16461,201.0753,1685.08194,880.47997,87.40866,615.35141,3877.59079,3346.33774,531.25305,229.35652,1048.88944,206.43404,170.48155
1990-05-01,28995.44419,4316.57672,3874.43754,442.13918,1264.68325,326.45079,733.08261,702.97567,227.40386,406.75339,4039.02641,3974.03202,64.99439,1041.47719,669.4113,476.45246,215.13129,5875.95131,2683.09118,1207.81509,541.8428,742.76763,278.91226,956.85997,193.74504,2005.63177,536.87779,384.36414,4121.81486,631.10115,1202.98547,230.50524,594.69984,740.61715,409.95497,1808.18182,181.54086,346.27637,260.26573,1662.89872,444.52416,355.32205,213.77183,6.40019,141.55576,109.31881,244.52302,1403.52914,993.82698,103.56548,180.85041,3761.83344,3128.30135,633.53209,254.3902,736.06285,206.86785,167.38285
1990-06-01,26043.47613,4143.57123,3743.40518,400.16605,1406.01092,319.61293,639.72562,589.31752,179.19517,387.62654,3525.2901,3474.23132,51.05878,1010.53692,565.83537,364.46597,204.46226,4753.89027,2352.25652,870.92626,368.74363,633.16977,220.14624,670.25021,146.25901,1921.68127,482.21821,330.06859,3612.84066,495.72892,1120.69366,214.20437,548.25093,630.30439,341.84098,1769.76238,212.29146,373.80945,220.39493,1553.32842,415.36391,330.24515,209.67737,5.32047,123.00214,129.25779,221.5018,1014.20961,663.94308,85.6351,167.33306,3748.90219,3115.00572,633.89647,222.62828,738.16445,169.88132,132.98143
1990-07-01,28225.66286,4128.29552,3723.1373,405.15822,1478.27065,378.17779,647.12497,580.04146,163.53936,300.376,3640.88246,3582.17174,58.71072,1002.00003,542.72065,490.36844,112.48067,5121.05049,2345.03655,949.5698,378.327,792.87218,252.5965,776.16647,216.22539,2050.28081,505.0862,386.55909,3781.94015,525.52926,1177.19988,217.21731,534.5076,680.36293,373.95959,1770.14798,227.61666,328.11942,246.25873,1663.40145,424.40282,336.30116,226.02238,8.38614,132.53117,96.06675,228.13479,1483.10342,712.31154,96.82155,567.14293,4586.56058,3983.48027,603.08031,254.90872,1246.291,168.77754,179.3878
1990-08-01,28302.71046,4061.40686,3676.98161,384.42525,1632.11576,361.4523,580.30628,583.68044,153.19388,213.64552,3652.33377,3596.6044,55.72937,918.83902,694.53315,416.55789,159.03714,5664.57717,2777.90759,1055.11574,407.89804,798.83995,223.06341,802.06012,198.74432,2007.05247,515.51021,386.49506,3780.88084,562.76536,1238.7145,217.14159,491.2677,586.52979,385.99414,1852.71885,190.57804,398.54659,266.71569,1553.57164,424.19683,340.27683,202.95953,4.96928,141.43403,101.01031,223.44768,1027.03184,699.73099,101.00897,153.58896,4703.13702,3870.73162,832.4054,227.05344,1591.37544,169.48897,174.78693
1990-09-01,27110.24287,3424.88742,3029.46522,395.4222,1143.64763,222.69134,486.90234,503.46871,193.78956,237.28748,3090.73149,3046.02596,44.70553,784.67372,526.00328,391.55448,117.04896,6648.5782,3650.52817,1277.81259,587.40637,792.0728,243.27953,679.53313,187.31916,1768.57788,425.18744,314.17457,3413.70854,452.41432,1079.64686,213.42287,410.09538,693.24736,324.32838,1488.24928,149.21337,343.19516,214.92338,1421.51787,383.03887,297.67781,184.69378,3.15775,126.19613,96.29455,207.14758,996.07722,530.62806,84.91978,298.2289,4857.91497,3319.57557,1538.3394,198.31248,1425.04366,155.83271,128.08433
1990-10-01,31429.03612,3956.03206,3541.30447,414.72759,1314.91236,367.70605,626.85982,527.40541,204.62673,306.19083,3447.87768,3401.95407,45.92361,793.61296,551.39996,449.77451,160.30277,8361.56715,4845.99083,1564.03707,822.01963,902.61739,362.96307,679.54839,182.82052,2156.93053,615.11194,376.18867,4086.46923,569.07471,1360.12417,236.23377,512.88367,744.41324,368.86322,1850.97753,183.97832,376.51614,276.06431,1689.97396,449.97507,353.31401,211.58183,4.83705,135.12429,117.16699,243.74576,1157.53395,698.74379,118.83558,271.44394,4721.67403,3764.04464,957.62939,238.5248,1339.28416,163.76348,177.31606
1990-11-01,30152.29249,3877.41099,3410.71068,466.70031,1405.07284,451.75341,596.88862,464.13204,164.27672,271.92036,2816.50916,2771.10216,45.407,715.03304,422.01864,327.50977,96.90595,9423.37466,5866.26876,1549.68981,696.30277,904.95514,354.91288,733.59579,169.51862,1827.59369,594.1896,308.93455,3865.00428,628.52795,1302.36406,215.1134,480.44075,660.40792,333.36523,1609.20626,176.4685,364.99663,245.73266,1560.39077,397.7168,309.27495,216.30166,5.26205,132.27616,95.24623,220.01299,1647.25912,981.01532,93.89292,500.90362,3525.54356,2898.71035,626.83321,208.00537,805.63241,155.3222,158.45094
1990-12-01,30004.66076,3553.94726,3170.06666,383.8806,1255.37641,375.93089,581.13191,477.57117,190.11573,211.44576,3013.97403,2966.90017,47.07386,718.10402,441.74315,432.33503,145.1766,9924.83527,6603.62618,1239.78286,568.42553,929.67778,467.80833,679.66657,232.78614,1860.0113,565.93809,321.92506,3501.51723,570.2085,1190.50991,203.73027,456.36176,491.58416,357.60036,1605.07355,168.97272,388.8581,243.18008,1557.31735,379.12813,286.39656,220.82464,6.38847,125.9178,118.30915,214.87532,1665.23465,805.78521,89.96534,697.28834,3322.75012,2689.40368,633.34644,215.14145,775.80505,154.10477,161.521
1991-01-01,28274.41144,3329.65165,2958.56125,371.0904,1042.05839,359.20679,558.81191,464.83183,202.93259,189.73094,3373.04577,3316.75127,56.2945,803.98404,494.20739,448.61869,134.34042,7995.81447,4608.04093,1047.81539,596.98804,1166.11701,494.76177,666.91705,161.09839,2090.84621,669.51111,352.1031,3748.61553,637.64345,1221.42877,222.66694,486.6342,536.55586,368.76602,1630.66255,163.32917,302.1568,230.33219,1603.80082,414.9408,318.18506,225.74503,5.59372,135.87779,120.27179,202.26417,1241.77271,880.89691,104.90374,98.75032,3260.20173,2706.61622,553.58551,225.00092,901.14294,179.68758,163.03858
1991-02-01,26084.26257,3349.23545,2907.37015,441.8653,1056.99413,310.40764,526.78004,466.82726,190.91048,193.06694,2877.1135,2830.09922,47.01428,706.27591,434.58809,323.37829,151.03477,7063.20537,4151.62551,855.71334,497.32742,1006.94556,333.13479,710.90112,173.51896,1923.43129,661.73988,324.4461,3268.49051,577.67336,1045.07967,199.89856,404.31029,541.81373,259.19159,1495.77862,169.21439,330.24531,229.69999,1445.13771,378.73553,289.51778,193.90917,4.20824,123.45472,99.60089,211.03032,1270.93943,510.23655,87.77551,533.52635,3390.93069,2657.49249,733.4382,226.44041,960.33626,170.43783,166.30234
1991-03-01,28212.64514,3725.18443,3328.01325,397.17118,1302.25975,300.25437,629.98242,437.25561,232.06829,254.5322,3031.16167,2976.61087,54.5508,756.32829,429.65986,413.94922,104.9114,8542.30987,5387.6126,959.17785,570.2047,1004.66349,435.49767,751.43326,218.94599,2125.84804,590.471,339.06406,3417.35873,494.74083,1121.0814,214.54328,413.20668,566.73551,349.36181,1597.84156,144.55,349.80641,278.11479,1613.05736,424.39459,331.11116,215.74963,7.83435,125.45463,98.87204,257.73878,1046.58256,731.2597,99.13377,122.15064,3113.30092,2684.54169,428.75923,252.67733,898.47087,187.57631,153.75789
1991-04-01,24496.86339,3748.1831,3444.6493,303.5338,1344.87726,339.34166,576.6095,490.32654,235.8286,301.65169,3141.07303,3094.3028,46.77023,832.84115,529.60199,396.13123,171.45158,3963.68533,1317.51799,765.95646,443.75753,884.51353,228.64301,752.30566,190.5638,2033.44959,589.19969,343.17565,4124.23272,783.26833,1310.59777,229.19115,560.74929,552.3089,434.53967,1549.43273,153.90661,332.65059,276.40931,1520.98306,429.33987,342.51298,216.35132,5.10892,129.25844,99.42025,193.15428,947.00781,670.19055,91.04759,81.79602,3468.81602,2847.86485,620.95117,233.50137,946.04891,181.64539,183.62198
1991-05-01,27949.54173,4420.50992,3962.22339,458.28653,1457.1672,393.23166,706.44826,590.37972,237.74869,385.10934,3547.51573,3471.50861,76.00712,940.04716,448.31675,458.02715,152.42126,5653.41896,2733.69952,982.90246,501.492,893.86739,311.38523,724.93591,170.89795,2213.79172,660.22292,333.21531,4091.90416,665.30005,1257.85275,268.82296,555.86227,655.25929,385.6279,1719.88207,168.02573,330.69968,270.3395,1737.55895,478.68981,356.21809,256.30291,5.7844,152.50483,130.92159,199.39963,1168.45695,608.00352,115.476,336.26151,3396.50327,2766.27788,630.22539,255.62404,747.70809,220.44438,157.69878
1991-06-01,25299.28197,3858.55617,3392.41207,466.1441,1260.46618,284.6022,600.61189,513.44502,172.08085,369.213,3203.88783,3157.23207,46.65576,897.34266,494.50908,399.53575,124.49116,5330.77551,2642.62849,907.38458,410.36845,803.59573,239.37196,728.30652,183.08682,1959.17194,531.80973,341.71111,3657.56574,657.24845,1109.04501,236.75713,481.34274,540.74906,365.41369,1559.92561,151.06351,344.84362,229.41205,1638.97783,428.03538,331.79256,237.4193,7.22157,137.51507,108.58363,261.22519,1056.33509,482.22214,88.18883,387.22136,3034.08625,2488.8575,545.22875,268.05609,712.10884,172.14771,142.9962
