Date,総数,0~4歳,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100歳以上,85歳以上,75歳以上
2000-01-01,126690,5930,6010,6690,7620,8820,9930,8700,7950,7850,9270,10030,8890,7650,6970,5770,NA,NA,NA,NA,NA,NA,NA,8600
2000-02-01,126790,5940,6020,6690,7610,8780,9950,8730,7970,7830,9230,10120,8830,7670,7000,5790,NA,NA,NA,NA,NA,NA,NA,8660
2000-03-01,126810,5930,6010,6680,7590,8700,9950,8740,7980,7830,9190,10170,8830,7670,7020,5800,NA,NA,NA,NA,NA,NA,NA,8700
2000-04-01,126790,5940,6000,6640,7560,8730,9950,8740,7990,7810,9140,10200,8810,7660,7030,5820,NA,NA,NA,NA,NA,NA,NA,8780
2000-05-01,126740,5950,6000,6640,7570,8710,9920,8720,7990,7810,9100,10220,8790,7660,7040,5830,NA,NA,NA,NA,NA,NA,NA,8800
2000-06-01,126870,5950,5990,6630,7550,8690,9950,8770,8010,7810,9080,10260,8790,7670,7050,5840,NA,NA,NA,NA,NA,NA,NA,8820
2000-07-01,126920,5950,5990,6620,7540,8670,9950,8780,8030,7810,9050,10310,8780,7680,7060,5850,NA,NA,NA,NA,NA,NA,NA,8840
2000-08-01,126760,5940,5970,6560,7490,8630,9940,8790,8040,7790,9000,10360,8750,7690,7070,5860,NA,NA,NA,NA,NA,NA,NA,8870
2000-09-01,126850,5940,5980,6570,7510,8570,9940,8800,8080,7790,8970,10410,8740,7700,7080,5880,NA,NA,NA,NA,NA,NA,NA,8910
2000-10-01,126930,5940,5980,6550,7500,8580,9940,8800,8110,7790,8930,10460,8720,7700,7090,5890,NA,NA,NA,NA,NA,NA,NA,8960
2000-11-01,126990,5940,5970,6530,7490,8570,9950,8800,8150,7780,8890,10510,8690,7700,7120,5900,NA,NA,NA,NA,NA,NA,NA,9000
2000-12-01,127030,5940,5960,6520,7480,8540,9950,8810,8170,7770,8850,10590,8640,7700,7140,5920,NA,NA,NA,NA,NA,NA,NA,9040
2001-01-01,127010,5950,5950,6490,7480,8520,9940,8820,8180,7760,8810,10650,8610,7710,7150,5920,NA,NA,NA,NA,NA,NA,NA,9060
2001-02-01,127040,5960,5960,6490,7470,8480,9940,8880,8150,7750,8740,10760,8500,7710,7170,5950,NA,NA,NA,NA,NA,NA,NA,9130
2001-03-01,126870,5950,5950,6470,7450,8380,9910,8910,8120,7730,8690,10820,8440,7720,7190,5960,NA,NA,NA,NA,NA,NA,NA,9180
2001-04-01,127000,5960,5950,6440,7420,8420,9920,8980,8090,7730,8650,10900,8380,7730,7190,5980,NA,NA,NA,NA,NA,NA,NA,9260
2001-05-01,126990,5950,5950,6440,7430,8400,9890,9010,8050,7730,8630,10940,8330,7740,7200,5990,NA,NA,NA,NA,NA,NA,NA,9300
2001-06-01,127100,5940,5950,6430,7420,8390,9900,9090,8040,7730,8610,10990,8310,7750,7200,5990,NA,NA,NA,NA,NA,NA,NA,9330
2001-07-01,127100,5940,5950,6420,7410,8370,9900,9150,8020,7720,8590,11010,8290,7770,7210,6000,NA,NA,NA,NA,NA,NA,NA,9360
2001-08-01,127050,5930,5930,6380,7350,8320,9890,9210,8010,7710,8550,11030,8290,7810,7220,6020,NA,NA,NA,NA,NA,NA,NA,9390
2001-09-01,127120,5930,5940,6390,7370,8270,9870,9270,7990,7720,8530,11030,8280,7830,7230,6030,NA,NA,NA,NA,NA,NA,NA,9430
2001-10-01,127210,5900,6000,6390,7360,8200,9690,9310,8000,7750,8520,11010,8320,7910,7270,6060,NA,NA,NA,NA,NA,NA,NA,9540
2001-11-01,127270,5900,6000,6370,7340,8190,9680,9370,7990,7740,8500,10990,8330,7950,7280,6070,NA,NA,NA,NA,NA,NA,NA,9580
2001-12-01,127390,5900,6000,6360,7320,8180,9680,9430,8000,7740,8480,10980,8340,7980,7300,6070,NA,NA,NA,NA,NA,NA,NA,9630
2002-01-01,127280,5900,5980,6330,7320,8170,9640,9440,7980,7740,8440,10980,8330,8010,7300,6070,NA,NA,NA,NA,NA,NA,NA,9650
2002-02-01,127390,5900,5990,6330,7320,8140,9620,9440,8030,7740,8400,10940,8360,8030,7330,6090,NA,NA,NA,NA,NA,NA,NA,9730
2002-03-01,127290,5900,5990,6330,7300,8060,9590,9430,8050,7750,8350,10910,8370,8040,7340,6100,4550,2790,NA,NA,NA,NA,2450,NA
2002-04-01,127310,5900,5980,6290,7270,8130,9570,9420,8080,7750,8300,10880,8390,8040,7330,6120,4570,2810,NA,NA,NA,NA,2480,NA
